Metabolite,Param,mean,sd,X2.5.,X50.,X97.5.,Rhat,Z.x,P_GT_LT_0,SIG_BAYES,Estimate,StdErr,Z.y,P-value,P.Bon,P.BH,SIG_BH,SIG_BON,SIG.RAW
oacetylcarnitine,beta_x[20],0.6717432336083581,0.14695164434761776,0.3927007473508415,0.6673228953005446,0.9642254499793357,0.9991853918034749,4.571185552843034,1,TRUE,0.7061122913595671,0.1499183576502037,4.709978833993768,2.477425181964938e-6,6.689047991305333e-5,6.689047991305333e-5,TRUE,TRUE,TRUE
tyrosine,beta_x[26],0.5841275527792199,0.13850633543573046,0.3186377318043824,0.5812330035727982,0.8667369577338171,0.999516893690717,4.2173345424351805,1,TRUE,0.6176203916865963,0.14248299265811795,4.3346955321787135,1.4596200004948849e-5,3.940974001336189e-4,1.6637430190299897e-4,TRUE,TRUE,TRUE
betaine,beta_x[5],0.5982422961168088,0.14624368783949704,0.3239849721082029,0.5944202563230826,0.9011619691288123,0.9996255359630641,4.090722170336553,1,TRUE,0.6337243940735892,0.1502429155682526,4.217998510456886,2.4648044726370216e-5,6.654972076119959e-4,1.6637430190299897e-4,TRUE,TRUE,TRUE
propyleneglycol,beta_x[24],0.5828457111199001,0.14300089693427623,0.3139878791766896,0.5783890250009132,0.8780225344735957,0.9992294923781498,4.075818569080572,1,TRUE,0.6580246570527483,0.15588770823872924,4.221145236448261,2.430642599812441e-5,6.562735019493591e-4,1.6637430190299897e-4,TRUE,TRUE,TRUE
glycine,beta_x[13],0.5143159279466235,0.1381882474598014,0.23895358292620134,0.5118452931157373,0.7909574105076461,0.9993084021936056,3.7218499937647493,1,TRUE,0.5754832664095744,0.14692954942583955,3.9167292669065237,8.975845256236127e-5,0.0024234782191837542,4.846956438367509e-4,TRUE,TRUE,TRUE
lysine,beta_x[18],0.5040743479919534,0.1354653911359235,0.2456936398419223,0.5033787910609915,0.7759191272953766,0.9991042602238165,3.7210563064493303,1,TRUE,0.5471660406330336,0.14331052329470073,3.8180450957383845,1.345133414690054e-4,0.0036318602196631455,6.053100366105243e-4,TRUE,TRUE,TRUE
proline,beta_x[23],0.4284530854854446,0.11592503201547125,0.20500157602118532,0.4266587657951084,0.6565774996590755,0.9992544774067812,3.6959496843465494,1,TRUE,0.3925117843937576,0.11257235915728507,3.486750986939376,4.889263672433771e-4,0.013201011915571182,0.0013611317074502432,TRUE,TRUE,TRUE
methionine,beta_x[19],0.3790972757451196,0.10931005231953754,0.16909843878522363,0.37680169054610424,0.6003337293703263,1.0004020218617322,3.468091613723998,1,TRUE,0.36400072686817897,0.10464132634182635,3.478556126851038,5.041228546112011e-4,0.01361131707450243,0.0013611317074502432,TRUE,TRUE,TRUE
lactate,beta_x[16],0.45690947978517743,0.13564732640505028,0.2046265291901069,0.4535997460384248,0.7365056048716143,0.9994491797395324,3.3683633278611103,1,TRUE,0.5122787005664129,0.14655255262449493,3.4955290194023556,4.7312300251787945e-4,0.012774321067982744,0.0013611317074502432,TRUE,TRUE,TRUE
glutamine,beta_x[12],0.4971044248285994,0.1433062506753695,0.22698540140535234,0.49464116015979415,0.7765311311855629,0.99928985188458,3.468825836178535,0.99975,TRUE,0.5568086948586453,0.15078848478370505,3.6926473242127624,2.219316968115548e-4,0.005992155813911979,8.560222591302828e-4,TRUE,TRUE,TRUE
alanine,beta_x[4],0.4199830914366573,0.13878475390715603,0.15116353771906696,0.41823013600275505,0.69390421020541,0.9991523593890351,3.026147178368143,0.9975,TRUE,0.4687295594843862,0.14426997233233033,3.248975181090721,0.0011582158311813657,0.031271827441896875,0.0028428934038088067,TRUE,TRUE,TRUE
creatinine,beta_x[10],0.38799548899432423,0.1373398501538066,0.12209063609275472,0.38484565893076983,0.6607940784473351,0.9992406674772754,2.825075814192377,0.9975,TRUE,0.43299759864236137,0.142622949786828,3.0359601963747287,0.0023977101471002998,0.0647381739717081,0.005394847830975675,TRUE,FALSE,TRUE
citrate,beta_x[8],0.30538850336791745,0.12084860977950429,0.07917825453829215,0.3023705733597932,0.5458484925142499,0.999403477498794,2.527033649167479,0.997,TRUE,0.29140343187549256,0.11676034080502762,2.495739819414307,0.01256947578698951,0.33937584624871675,0.021210990390544797,TRUE,FALSE,TRUE
carnitine,beta_x[6],0.25467740564250047,0.10192938152783028,0.05587173736677102,0.25417077671233346,0.46284955637733866,0.9994535378938251,2.498567163119347,0.99625,TRUE,0.24422305289146076,0.09599182635589902,2.5442067534581545,0.01095262337576968,0.29572083114578135,0.020859417810536095,TRUE,FALSE,TRUE
histidine,beta_x[14],0.31496110582551723,0.12308859955350626,0.07962425060754297,0.3125467190299988,0.5639499769064926,0.9996421410795296,2.5588162264256207,0.99525,TRUE,0.3025907837371566,0.1174293699764372,2.5767896378723054,0.009972261950551628,0.26925107266489395,0.020711620974222616,TRUE,FALSE,TRUE
